Image name, Organoid label, area, perimeter
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 31, 390, 74.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_10, 32, 379, 78.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 1, 410, 76.18376618407356
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 2, 2240, 179.50966799187808
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 3, 658, 95.32590180780451
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 4, 1672, 151.95331880577402
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 5, 890, 111.05382386916236
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 6, 1331, 136.36753236814712
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 7, 343, 66.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 8, 1179, 128.46803743153546
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 9, 868, 107.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 10, 695, 96.32590180780451
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 11, 802, 105.39696961966999
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 12, 1276, 132.95331880577402
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 14, 316, 64.62741699796952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 15, 242, 55.698484809834994
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 17, 103, 37.79898987322333
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 18, 236, 54.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 19, 211, 52.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 21, 136, 40.384776310850235
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 23, 915, 119.7401153701776
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 24, 410, 80.91168824543142
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 27, 415, 74.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 29, 120, 38.384776310850235
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 30, 217, 52.87005768508881
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 32, 327, 67.35533905932738
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_11, 34, 415, 85.59797974644667
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 1, 371, 73.01219330881975
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 2, 2439, 190.06601717798213
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 3, 780, 106.63961030678928
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 4, 1791, 159.02438661763952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 5, 897, 110.22539674441617
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 6, 1094, 145.4386001800126
